Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;Domanda;Produzione PV;Autoconsumo
0.2;0.075;0.4;0;0.1;Bellinzona;422.8705522;209.8166724;99.77158022
0.2;0.1;0.4;0;0.1;Bellinzona;422.1699402;220.3284571;102.797362
0.2;0;0.5;0;0.1;Bellinzona;424.3763935;179.792992;90.13113046
0.2;0.025;0.5;0;0.1;Bellinzona;423.9415676;189.9265962;93.67651465
0.2;0.05;0.5;0;0.1;Bellinzona;423.4330034;200.3565173;97.08626205
0.2;0.075;0.5;0;0.1;Bellinzona;422.8317249;210.974291;100.3421617
0.2;0.1;0.5;0;0.1;Bellinzona;422.1359805;221.6005898;103.3997578
0.3;0;0;0;0.1;Bellinzona;424.4400833;176.0773133;89.13634649
0.3;0.025;0;0;0.1;Bellinzona;424.0273686;185.6196191;92.3990237
0.3;0.05;0;0;0.1;Bellinzona;423.5447328;195.435916;95.48798475
0.3;0.075;0;0;0.1;Bellinzona;422.967323;205.4482309;98.40560104
0.3;0.1;0;0;0.1;Bellinzona;422.2924415;215.5425982;101.154856
0.3;0;0.1;0;0.1;Bellinzona;424.3985835;176.8103039;89.55624016
0.3;0.025;0.1;0;0.1;Bellinzona;423.9808892;186.4627112;92.86237029
0.3;0.05;0.1;0;0.1;Bellinzona;423.5022358;196.3926112;95.99188178
0.3;0.075;0.1;0;0.1;Bellinzona;422.9267617;206.523482;98.94968094
0.3;0.1;0.1;0;0.1;Bellinzona;422.2431687;216.7214912;101.7261259
0.3;0;0.2;0;0.1;Bellinzona;424.3648291;177.5573178;89.98378673
0.3;0.025;0.2;0;0.1;Bellinzona;423.9440516;187.324657;93.33595157
0.3;0.05;0.2;0;0.1;Bellinzona;423.4428535;197.3766443;96.51228859
0.3;0.075;0.2;0;0.1;Bellinzona;422.8698177;207.6212153;99.5050263
0.3;0.1;0.2;0;0.1;Bellinzona;422.2006247;217.9114523;102.2968981
0.3;0;0.3;0;0.1;Bellinzona;424.3389375;178.3196074;90.4195352
0.3;0.025;0.3;0;0.1;Bellinzona;423.9069423;188.2112391;93.82457852
0.3;0.05;0.3;0;0.1;Bellinzona;423.4286734;198.3624582;97.02529546
0.3;0.075;0.3;0;0.1;Bellinzona;422.8242868;208.7368787;100.066413
0.3;0.1;0.3;0;0.1;Bellinzona;422.1732479;219.1226075;102.8751059
0.3;0;0.4;0;0.1;Bellinzona;424.3047868;179.0991374;90.86518054
0.3;0.025;0.4;0;0.1;Bellinzona;423.8849811;189.0947256;94.30394881
0.3;0.075;0.4;0;0.1;Bellinzona;422.7712453;209.8838688;100.6457552
0.3;0.05;0.4;0;0.1;Bellinzona;423.3622711;199.4009239;97.57695133
0.3;0.1;0.4;0;0.1;Bellinzona;422.0832153;220.394205;103.4981774
0.3;0;0.5;0;0.1;Bellinzona;424.2776106;179.8921094;91.31692406
0.3;0.025;0.5;0;0.1;Bellinzona;423.8298454;190.0182838;94.81176978
0.3;0.05;0.5;0;0.1;Bellinzona;423.3265649;200.436803;98.11804776
0.3;0.075;0.5;0;0.1;Bellinzona;422.7323102;211.0535778;101.2346956
0.3;0.1;0.5;0;0.1;Bellinzona;422.0462874;221.6697496;104.1106071
0;0.075;0;0;0.2;Bellinzona;422.451348;217.3665868;102.3508257
0;0.025;0;0;0.2;Bellinzona;423.5546478;195.0772392;94.94004118
0;0.1;0.1;0;0.2;Bellinzona;421.6035174;231.4394265;107.1207015
0;0;0.1;0;0.2;Bellinzona;423.9056871;186.1593074;92.07139866
0;0;0;0;0.2;Bellinzona;423.9985233;184.3004688;91.05258824
0;0.025;0.1;0;0.2;Bellinzona;423.492069;197.2013444;96.0494654
0;0.05;0;0;0.2;Bellinzona;423.0402235;206.1587526;98.72836947
0;0.05;0.1;0;0.2;Bellinzona;422.9511897;208.5825956;99.94394821
0;0.075;0.1;0;0.2;Bellinzona;422.362287;220.0524245;103.6412135
0;0.1;0;0;0.2;Bellinzona;421.7244761;228.5148116;105.766883
0;0.025;0.2;0;0.2;Bellinzona;423.3796833;199.46779;97.23991656
0;0;0.2;0;0.2;Bellinzona;423.8458445;188.0854341;93.12118446
0;0.075;0.2;0;0.2;Bellinzona;422.275774;222.8580458;104.9839199
0;0.1;0.2;0;0.2;Bellinzona;421.5315939;234.455796;108.5026761
0;0.05;0.2;0;0.2;Bellinzona;422.8714186;211.1291283;101.2192921
0;0;0.3;0;0.2;Bellinzona;423.7805961;190.1165666;94.22834345
0;0.025;0.3;0;0.2;Bellinzona;423.3175694;201.8151015;98.4628158
0;0.05;0.3;0;0.2;Bellinzona;422.7811292;213.8022441;102.5549759
