Battery Rebate;FiT;Share PV Cantonal over Federal rebate;EC scenario;PV Rebate;Type;2050
0.3;0;0.5;0;0.1;SFH;0.456648249
0.3;0.025;0.5;0;0.1;SFH;0.488851548
0.3;0.05;0.5;0;0.1;SFH;0.52209415
0.3;0.075;0.5;0;0.1;SFH;0.555781938
0.3;0.1;0.5;0;0.1;SFH;0.589090892
0;0.075;0;0;0.2;SFH;0.570584332
0;0.025;0;0;0.2;SFH;0.499622704
0;0.1;0.1;0;0.2;SFH;0.612280359
0;0;0.1;0;0.2;SFH;0.468914574
0;0;0;0;0.2;SFH;0.465185271
0;0.025;0.1;0;0.2;SFH;0.504323335
0;0.05;0;0;0.2;SFH;0.535029724
0;0.05;0.1;0;0.2;SFH;0.540634132
0;0.075;0.1;0;0.2;SFH;0.576972685
0;0.1;0;0;0.2;SFH;0.605326765
0;0.025;0.2;0;0.2;SFH;0.509267958
0;0;0.2;0;0.2;SFH;0.472859301
0;0.075;0.2;0;0.2;SFH;0.583631499
0;0.1;0.2;0;0.2;SFH;0.619490708
0;0.05;0.2;0;0.2;SFH;0.546542328
0;0;0.3;0;0.2;SFH;0.477034702
0;0.025;0.3;0;0.2;SFH;0.514492448
0;0.05;0.3;0;0.2;SFH;0.552719104
0;0.1;0.3;0;0.2;SFH;0.626897948
0;0.075;0.3;0;0.2;SFH;0.590557487
0;0;0.4;0;0.2;SFH;0.481440206
0;0.025;0.4;0;0.2;SFH;0.520027308
0;0.05;0.4;0;0.2;SFH;0.559200704
0;0.075;0.4;0;0.2;SFH;0.59779058
0;0.1;0.4;0;0.2;SFH;0.634598348
0;0;0.5;0;0.2;SFH;0.486119427
0;0.025;0.5;0;0.2;SFH;0.525815766
0;0.05;0.5;0;0.2;SFH;0.565986173
0;0.075;0.5;0;0.2;SFH;0.605328456
0;0.1;0.5;0;0.2;SFH;0.642498665
0.1;0;0;0;0.2;SFH;0.465240389
0.1;0.025;0;0;0.2;SFH;0.499662405
0.1;0.05;0;0;0.2;SFH;0.535056644
0.1;0.075;0;0;0.2;SFH;0.570611185
0.1;0.1;0;0;0.2;SFH;0.605361062
0.1;0;0.1;0;0.2;SFH;0.468964724
0.1;0.025;0.1;0;0.2;SFH;0.504382105
0.1;0.05;0.1;0;0.2;SFH;0.540672034
0.1;0.1;0.1;0;0.2;SFH;0.612298657
0.1;0.075;0.1;0;0.2;SFH;0.576995406
0.1;0;0.2;0;0.2;SFH;0.472906066
0.1;0.025;0.2;0;0.2;SFH;0.509305586
0.1;0.05;0.2;0;0.2;SFH;0.546582113
0.1;0.075;0.2;0;0.2;SFH;0.583668265
0.1;0.1;0.2;0;0.2;SFH;0.619489213
0.1;0;0.3;0;0.2;SFH;0.477098808
0.1;0.025;0.3;0;0.2;SFH;0.514544508
0.1;0.05;0.3;0;0.2;SFH;0.55275829
0.1;0.1;0.3;0;0.2;SFH;0.626902672
0.1;0.075;0.3;0;0.2;SFH;0.590588485
0.1;0;0.4;0;0.2;SFH;0.48152322
0.1;0.025;0.4;0;0.2;SFH;0.520075803
0.1;0.05;0.4;0;0.2;SFH;0.559241912
0.1;0.075;0.4;0;0.2;SFH;0.59780576
0.1;0.1;0.4;0;0.2;SFH;0.634615183
0.1;0;0.5;0;0.2;SFH;0.486198346
0.1;0.025;0.5;0;0.2;SFH;0.525873326
0.1;0.05;0.5;0;0.2;SFH;0.566028904
0.1;0.075;0.5;0;0.2;SFH;0.605350274
0.1;0.1;0.5;0;0.2;SFH;0.64250888
0.2;0;0;0;0.2;SFH;0.465290143
0.2;0.025;0;0;0.2;SFH;0.499710591
0.2;0.05;0;0;0.2;SFH;0.535109568
0.2;0.075;0;0;0.2;SFH;0.570640222
0.2;0.1;0;0;0.2;SFH;0.605382588
0.2;0;0.1;0;0.2;SFH;0.469049868
0.2;0.025;0.1;0;0.2;SFH;0.504434463
0.2;0.05;0.1;0;0.2;SFH;0.540717305
0.2;0.075;0.1;0;0.2;SFH;0.577025376
0.2;0.1;0.1;0;0.2;SFH;0.612323061
0.2;0;0.2;0;0.2;SFH;0.4729737
0.2;0.025;0.2;0;0.2;SFH;0.509384918
0.2;0.05;0.2;0;0.2;SFH;0.546626758
0.2;0.075;0.2;0;0.2;SFH;0.583702756
0.2;0.1;0.2;0;0.2;SFH;0.619512846
0.2;0;0.3;0;0.2;SFH;0.477179373
0.2;0.025;0.3;0;0.2;SFH;0.514598735
0.2;0.05;0.3;0;0.2;SFH;0.552801088
0.2;0.1;0.3;0;0.2;SFH;0.626909509
0.2;0.075;0.3;0;0.2;SFH;0.590609673
0.2;0;0.4;0;0.2;SFH;0.481611585
0.2;0.025;0.4;0;0.2;SFH;0.520147436
0.2;0.05;0.4;0;0.2;SFH;0.559316158
0.2;0.075;0.4;0;0.2;SFH;0.597836075
0.2;0.1;0.4;0;0.2;SFH;0.634634078
0.2;0;0.5;0;0.2;SFH;0.486302752
0.2;0.025;0.5;0;0.2;SFH;0.525940702
0.2;0.05;0.5;0;0.2;SFH;0.566098884
0.2;0.075;0.5;0;0.2;SFH;0.605385536
0.2;0.1;0.5;0;0.2;SFH;0.642517573
0.3;0;0;0;0.2;SFH;0.465352045
0.3;0.025;0;0;0.2;SFH;0.499773599
0.3;0.05;0;0;0.2;SFH;0.535170064
0.3;0.075;0;0;0.2;SFH;0.570698353
0.3;0.1;0;0;0.2;SFH;0.605412351
0.3;0;0.1;0;0.2;SFH;0.469116662
0.3;0.025;0.1;0;0.2;SFH;0.504495909
0.3;0.05;0.1;0;0.2;SFH;0.540775637
0.3;0.075;0.1;0;0.2;SFH;0.577061399
0.3;0.1;0.1;0;0.2;SFH;0.612335809
0.3;0;0.2;0;0.2;SFH;0.473082993
0.3;0.025;0.2;0;0.2;SFH;0.50946695
0.3;0.05;0.2;0;0.2;SFH;0.546677455
0.3;0.075;0.2;0;0.2;SFH;0.583725546
0.3;0.1;0.2;0;0.2;SFH;0.619534252
0.3;0;0.3;0;0.2;SFH;0.477274386
0.3;0.025;0.3;0;0.2;SFH;0.514679808
0.3;0.05;0.3;0;0.2;SFH;0.552902377
0.3;0.075;0.3;0;0.2;SFH;0.590677937
0.3;0.1;0.3;0;0.2;SFH;0.626941244
0.3;0;0.4;0;0.2;SFH;0.481702966
0.3;0.025;0.4;0;0.2;SFH;0.520243711
0.3;0.05;0.4;0;0.2;SFH;0.559365272
0.3;0.075;0.4;0;0.2;SFH;0.597897182
0.3;0.1;0.4;0;0.2;SFH;0.634655124
0.3;0;0.5;0;0.2;SFH;0.486418509
0.3;0.025;0.5;0;0.2;SFH;0.526063283
0.3;0.05;0.5;0;0.2;SFH;0.566166984
0.3;0.075;0.5;0;0.2;SFH;0.605447194
0.3;0.1;0.5;0;0.2;SFH;0.642553
0;0.075;0;0;0.3;SFH;0.605356917
0;0;0.1;0;0.3;SFH;0.493943104
0;0.1;0.1;0;0.3;SFH;0.654758703
0;0.075;0.1;0;0.3;SFH;0.617187328
0;0;0.2;0;0.3;SFH;0.502221864
0;0.025;0.2;0;0.3;SFH;0.545428424
0;0.1;0;0;0.3;SFH;0.642484198
0;0.075;0.2;0;0.3;SFH;0.629728631
0;0;0;0;0.3;SFH;0.486399266
0;0.05;0.2;0;0.3;SFH;0.588430877
0;0.025;0;0;0.3;SFH;0.525985202
0;0;0.3;0;0.3;SFH;0.511284465
0;0.05;0.1;0;0.3;SFH;0.576875336
0;0.05;0;0;0.3;SFH;0.566069371
0;0.025;0.1;0;0.3;SFH;0.535333072
0;0.025;0.3;0;0.3;SFH;0.556318708
0;0.075;0.3;0;0.3;SFH;0.642820982
0;0.05;0.3;0;0.3;SFH;0.600786982
0;0.1;0.2;0;0.3;SFH;0.667451281
0;0.1;0.3;0;0.3;SFH;0.680489479
0;0;0.4;0;0.3;SFH;0.521145412
0;0.025;0.4;0;0.3;SFH;0.568103163
0;0.075;0.4;0;0.3;SFH;0.656506628
0;0.05;0.4;0;0.3;SFH;0.613925688
0;0.1;0.4;0;0.3;SFH;0.693618099
0;0;0.5;0;0.3;SFH;0.531904528
0;0.025;0.5;0;0.3;SFH;0.580745412
0;0.05;0.5;0;0.3;SFH;0.627817557
0;0.075;0.5;0;0.3;SFH;0.67060638
0;0.1;0.5;0;0.3;SFH;0.706722825
0.1;0;0;0;0.3;SFH;0.486448805
0.1;0.025;0;0;0.3;SFH;0.526056891
0.1;0.075;0;0;0.3;SFH;0.605377024
0.1;0.05;0;0;0.3;SFH;0.566114009
0.1;0.1;0;0;0.3;SFH;0.642492875
0.1;0;0.1;0;0.3;SFH;0.494039002
0.1;0.025;0.1;0;0.3;SFH;0.5353782
0.1;0.05;0.1;0;0.3;SFH;0.576908226
0.1;0.075;0.1;0;0.3;SFH;0.617214683
0.1;0.1;0.1;0;0.3;SFH;0.654761569
0.1;0;0.2;0;0.3;SFH;0.50230275
0.1;0.025;0.2;0;0.3;SFH;0.545484297
0.1;0.05;0.2;0;0.3;SFH;0.588477968
0.1;0.075;0.2;0;0.3;SFH;0.629750526
0.1;0.1;0.2;0;0.3;SFH;0.667447667
0.1;0;0.3;0;0.3;SFH;0.511365729
0.1;0.025;0.3;0;0.3;SFH;0.556392584
0.1;0.05;0.3;0;0.3;SFH;0.600845944
0.1;0.075;0.3;0;0.3;SFH;0.642842228
0.1;0.1;0.3;0;0.3;SFH;0.680476843
0.1;0;0.4;0;0.3;SFH;0.52125168
0.1;0.025;0.4;0;0.3;SFH;0.568167542
0.1;0.075;0.4;0;0.3;SFH;0.656509704
0.1;0.05;0.4;0;0.3;SFH;0.613966557
0.1;0.1;0.4;0;0.3;SFH;0.693597486
0.1;0;0.5;0;0.3;SFH;0.531998075
0.1;0.025;0.5;0;0.3;SFH;0.580829128
0.1;0.05;0.5;0;0.3;SFH;0.627842484
0.1;0.075;0.5;0;0.3;SFH;0.670605488
0.1;0.1;0.5;0;0.3;SFH;0.706694841
0.2;0;0;0;0.3;SFH;0.486551099
0.2;0.025;0;0;0.3;SFH;0.526129529
0.2;0.05;0;0;0.3;SFH;0.566175023
0.2;0.075;0;0;0.3;SFH;0.605415409
0.2;0.1;0;0;0.3;SFH;0.642500445
0.2;0;0.1;0;0.3;SFH;0.494151037
0.2;0.025;0.1;0;0.3;SFH;0.535475042
0.2;0.05;0.1;0;0.3;SFH;0.576969724
0.2;0.075;0.1;0;0.3;SFH;0.617245267
0.2;0.1;0.1;0;0.3;SFH;0.654770115
0.2;0;0.2;0;0.3;SFH;0.502408451
0.2;0.025;0.2;0;0.3;SFH;0.545585235
0.2;0.075;0.2;0;0.3;SFH;0.629756013
0.2;0.05;0.2;0;0.3;SFH;0.588524712
0.2;0.1;0.2;0;0.3;SFH;0.667448567
0.2;0;0.3;0;0.3;SFH;0.511480202
0.2;0.025;0.3;0;0.3;SFH;0.556467656
0.2;0.05;0.3;0;0.3;SFH;0.600918226
0.2;0.075;0.3;0;0.3;SFH;0.642878619
0.2;0.1;0.3;0;0.3;SFH;0.680471695
0.2;0;0.4;0;0.3;SFH;0.521379743
0.2;0.025;0.4;0;0.3;SFH;0.568257392
0.2;0.05;0.4;0;0.3;SFH;0.614006876
0.2;0.075;0.4;0;0.3;SFH;0.656516388
0.2;0.1;0.4;0;0.3;SFH;0.693583457
0.2;0;0.5;0;0.3;SFH;0.532109228
0.2;0.025;0.5;0;0.3;SFH;0.580891728
0.2;0.05;0.5;0;0.3;SFH;0.627879442
0.2;0.075;0.5;0;0.3;SFH;0.670600338
0.2;0.1;0.5;0;0.3;SFH;0.706664946
0.3;0;0;0;0.3;SFH;0.486667451
0.3;0.025;0;0;0.3;SFH;0.526230614
0.3;0.05;0;0;0.3;SFH;0.566245067
0.3;0.075;0;0;0.3;SFH;0.605454458
0.3;0.1;0;0;0.3;SFH;0.642528903
0.3;0;0.1;0;0.3;SFH;0.494248723
0.3;0.025;0.1;0;0.3;SFH;0.5355418
0.3;0.05;0.1;0;0.3;SFH;0.577035344
0.3;0.075;0.1;0;0.3;SFH;0.617288614
0.3;0.1;0.1;0;0.3;SFH;0.654774372
0.3;0;0.2;0;0.3;SFH;0.502523181
0.3;0.025;0.2;0;0.3;SFH;0.545671845
0.3;0.05;0.2;0;0.3;SFH;0.588608767
0.3;0.075;0.2;0;0.3;SFH;0.629782279
0.3;0.1;0.2;0;0.3;SFH;0.667466592
0.3;0;0.3;0;0.3;SFH;0.511614065
0.3;0.025;0.3;0;0.3;SFH;0.556563688
0.3;0.05;0.3;0;0.3;SFH;0.60095112
0.3;0.075;0.3;0;0.3;SFH;0.64288392
0.3;0.1;0.3;0;0.3;SFH;0.68046158
0.3;0;0.4;0;0.3;SFH;0.521504505
0.3;0.05;0.4;0;0.3;SFH;0.614067889
0.3;0.025;0.4;0;0.3;SFH;0.568338237
0.3;0.075;0.4;0;0.3;SFH;0.656542399
0.3;0.1;0.4;0;0.3;SFH;0.693557512
0.3;0;0.5;0;0.3;SFH;0.532244727
0.3;0.025;0.5;0;0.3;SFH;0.581024782
0.3;0.05;0.5;0;0.3;SFH;0.627919495
0.3;0.075;0.5;0;0.3;SFH;0.670594025
0.3;0.1;0.5;0;0.3;SFH;0.706629256
0;0.05;0;0;0.4;SFH;0.604931916
0;0.075;0.1;0;0.4;SFH;0.665538343
